"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"23/01/2024","971,77","969,84","973,27","963,69","3,03B","-0,16%"
"22/01/2024","973,37","973,79","976,17","967,75","2,95B","0,07%"
"19/01/2024","972,67","976,87","978,71","968,04","3,15B","-0,03%"
"18/01/2024","972,96","968,59","976,38","967,80","4,13B","0,41%"
"17/01/2024","968,94","976,51","977,26","963,96","10,48B","-0,66%"
"16/01/2024","975,39","975,65","981,30","972,12","2,89B","0,14%"
"15/01/2024","974,06","980,54","982,27","972,10","3,04B","-0,38%"
"12/01/2024","977,82","974,80","979,72","972,10","4,33B","0,81%"
"11/01/2024","969,94","974,78","978,22","969,94","5,53B","0,08%"
"10/01/2024","969,14","967,27","974,29","963,17","2,55B","-0,10%"
"09/01/2024","970,08","979,83","982,38","967,05","3,91B","-0,65%"
"08/01/2024","976,44","988,65","994,77","974,87","2,66B","-1,00%"
"05/01/2024","986,26","992,16","998,34","986,26","2,38B","-0,24%"
"04/01/2024","988,64","975,70","991,47","973,81","2,96B","1,57%"
"03/01/2024","973,38","977,74","978,77","971,42","2,49B","-0,62%"
"02/01/2024","979,43","969,46","979,43","966,47","2,34B","0,91%"
"29/12/2023","970,57","978,01","978,27","969,27","2,85B","-0,67%"
"28/12/2023","977,07","973,18","979,40","971,76","2,79B","0,86%"
"27/12/2023","968,73","971,35","973,96","967,90","2,88B","0,14%"
"26/12/2023","967,36","967,68","969,99","964,74","","0,00%"
"22/12/2023","967,36","967,68","969,99","964,74","2,56B","0,33%"
"21/12/2023","964,18","963,49","964,67","957,84","2,73B","0,12%"
"20/12/2023","962,98","964,04","967,46","960,60","3,08B","0,35%"
"19/12/2023","959,60","948,25","959,60","946,67","5,75B","1,10%"
"18/12/2023","949,14","956,01","957,33","944,41","12,33B","-0,92%"
"15/12/2023","957,97","957,26","961,48","954,02","6,47B","0,24%"
"14/12/2023","955,64","945,67","956,64","943,95","11,04B","2,44%"
"13/12/2023","932,91","938,32","940,74","928,21","7,73B","-0,92%"
"12/12/2023","941,52","940,23","944,91","935,90","13,49B","0,51%"
"11/12/2023","936,71","945,92","949,04","931,63","36,09B","-1,44%"
"08/12/2023","950,37","945,44","956,83","941,79","15,89B","0,52%"
"07/12/2023","945,44","936,80","945,44","930,94","13,17B","0,92%"
"06/12/2023","936,80","940,75","945,18","936,74","14,92B","-0,42%"
"05/12/2023","940,75","940,03","943,27","931,86","19,40B","0,06%"
"04/12/2023","940,14","939,73","953,55","939,73","18,58B","0,05%"
"01/12/2023","939,71","929,89","939,71","928,54","14,91B","1,04%"
"30/11/2023","930,03","924,34","930,72","924,34","11,14B","0,62%"
"29/11/2023","924,34","925,39","930,21","922,09","4,60B","-0,11%"
"28/11/2023","925,39","924,13","931,71","923,52","5,00B","0,14%"
"27/11/2023","924,13","924,87","933,16","924,13","3,40B","-0,08%"
"24/11/2023","924,87","923,53","930,41","923,30","6,00B","0,15%"
"23/11/2023","923,50","912,62","926,44","912,52","10,86B","1,20%"
"22/11/2023","912,59","915,72","918,69","910,13","7,73B","-0,34%"
"21/11/2023","915,72","918,68","921,30","912,75","6,54B","-0,32%"
"20/11/2023","918,68","917,41","921,19","914,08","5,81B","0,14%"
"17/11/2023","917,41","920,44","920,64","911,89","4,09B","-0,33%"
"16/11/2023","920,41","920,15","920,71","909,71","3,84B","0,03%"
"15/11/2023","920,12","903,97","923,03","903,97","8,46B","1,79%"
"14/11/2023","903,91","901,16","908,73","900,35","6,50B","0,30%"
"13/11/2023","901,22","901,72","907,36","900,51","10,73B","-0,06%"
"10/11/2023","901,72","908,03","908,79","900,08","5,14B","-0,70%"
"09/11/2023","908,03","906,75","913,42","904,50","2,73B","0,14%"
"08/11/2023","906,75","913,40","913,46","899,03","4,94B","-0,73%"
"07/11/2023","913,43","918,85","920,16","907,30","5,91B","-0,59%"
"06/11/2023","918,85","904,15","918,85","903,81","13,05B","1,63%"
"03/11/2023","904,15","898,92","913,49","898,36","13,86B","0,58%"
"02/11/2023","898,92","878,93","904,75","878,93","11,06B","2,28%"
"01/11/2023","878,88","892,29","896,54","878,88","7,53B","-1,51%"
"31/10/2023","892,34","889,34","893,61","879,43","8,14B","0,34%"
"30/10/2023","889,34","892,89","893,62","883,90","4,84B","-0,40%"
"27/10/2023","892,92","889,32","898,74","889,19","5,55B","0,41%"
"26/10/2023","889,32","911,86","912,52","888,77","6,05B","-2,48%"
"25/10/2023","911,95","909,00","920,88","909,00","3,75B","0,33%"
"24/10/2023","908,97","898,98","913,80","898,72","3,35B","1,11%"
"23/10/2023","899,01","911,89","913,15","896,39","5,63B","-1,41%"
"20/10/2023","911,89","910,09","917,00","904,61","6,91B","0,20%"
"19/10/2023","910,09","925,36","925,43","910,09","5,32B","-1,66%"
"18/10/2023","925,42","932,63","933,69","925,35","5,46B","-0,77%"
"17/10/2023","932,63","935,06","937,99","930,66","6,74B","-0,26%"
"16/10/2023","935,06","939,58","944,07","930,69","21,02B","-0,48%"
"13/10/2023","939,55","943,40","948,57","936,58","10,15B","-0,41%"
"12/10/2023","943,45","944,72","953,48","943,45","8,94B","-0,13%"
"11/10/2023","944,69","946,36","951,42","944,69","6,45B","-0,18%"
"10/10/2023","946,36","944,58","953,48","944,58","2,83B","0,19%"
"09/10/2023","944,58","946,51","952,99","943,52","3,11B","-0,20%"
"06/10/2023","946,51","944,72","953,17","944,72","3,31B","0,19%"
"05/10/2023","944,67","949,31","955,69","944,67","4,39B","-0,48%"
"04/10/2023","949,23","956,07","956,56","944,40","5,23B","-0,72%"
"03/10/2023","956,07","957,09","960,57","953,00","4,20B","-0,11%"
"02/10/2023","957,09","952,69","961,81","952,63","2,34B","0,46%"
"29/09/2023","952,69","953,32","960,73","952,69","4,47B","-0,07%"
"27/09/2023","953,32","952,40","961,51","950,07","4,32B","0,10%"
"26/09/2023","952,40","962,55","966,41","950,33","7,29B","-1,06%"
"25/09/2023","962,60","968,18","970,09","962,60","3,14B","-0,57%"
"22/09/2023","968,15","966,66","973,96","965,03","2,43B","0,15%"
"21/09/2023","966,66","970,43","972,77","964,66","3,15B","-0,39%"
"20/09/2023","970,43","965,04","978,71","965,04","3,72B","0,56%"
"19/09/2023","965,04","955,91","968,39","955,73","2,22B","0,96%"
"18/09/2023","955,85","961,20","964,40","955,04","3,61B","-0,56%"
"15/09/2023","961,20","955,59","966,14","953,51","8,40B","0,59%"
"14/09/2023","955,61","954,20","958,06","951,33","3,33B","0,15%"
"13/09/2023","954,23","953,49","954,41","947,79","3,63B","0,08%"
"12/09/2023","953,46","958,72","960,68","952,30","3,82B","-0,55%"
"11/09/2023","958,72","952,38","958,72","949,22","5,59B","0,67%"
"08/09/2023","952,38","959,47","961,06","947,61","3,24B","-0,74%"
"07/09/2023","959,47","967,22","967,71","954,40","7,64B","-0,80%"
"06/09/2023","967,19","968,67","973,53","967,19","3,21B","-0,15%"
"05/09/2023","968,67","969,92","972,38","965,76","2,53B","-0,13%"
"04/09/2023","969,92","966,99","972,01","965,90","2,32B","0,31%"
"01/09/2023","966,96","962,25","970,29","961,65","3,13B","0,49%"
"31/08/2023","962,25","963,92","967,12","957,47","9,77B","-0,17%"
"30/08/2023","963,92","964,11","973,52","963,92","3,55B","-0,01%"
"29/08/2023","964,03","958,28","965,43","958,28","7,10B","0,60%"
"28/08/2023","958,28","956,80","962,74","956,80","2,33B","0,16%"
"25/08/2023","956,72","956,34","958,71","951,95","2,96B","0,04%"
"24/08/2023","956,34","960,13","963,71","956,34","3,76B","-0,39%"
"23/08/2023","960,13","962,96","967,66","960,13","4,37B","-0,29%"
"22/08/2023","962,96","953,74","965,68","952,54","3,51B","0,97%"
"21/08/2023","953,74","956,74","961,25","953,74","4,97B","-0,31%"
"18/08/2023","956,71","963,77","963,77","956,71","3,65B","-0,75%"
"16/08/2023","963,91","966,25","966,25","955,59","5,00B","-0,24%"
"15/08/2023","966,25","968,72","969,93","963,06","5,51B","-0,25%"
"14/08/2023","968,66","964,35","968,66","954,17","3,32B","0,45%"
"11/08/2023","964,35","966,48","968,89","962,24","4,77B","-0,22%"
"10/08/2023","966,48","965,30","971,41","964,62","6,02B","0,12%"
"09/08/2023","965,30","961,86","968,20","961,86","9,88B","0,36%"
"08/08/2023","961,86","966,43","970,42","960,85","4,87B","-0,47%"
"07/08/2023","966,40","958,97","969,81","958,97","3,04B","0,77%"
"04/08/2023","958,97","967,06","969,98","958,97","2,47B","-0,83%"
"03/08/2023","967,03","960,14","972,24","956,87","2,98B","0,72%"
"02/08/2023","960,14","963,46","963,46","956,63","4,11B","-0,34%"
"01/08/2023","963,46","965,57","968,30","961,32","3,94B","-0,22%"
"31/07/2023","965,62","961,66","966,93","960,45","4,44B","0,41%"
"28/07/2023","961,66","959,30","961,66","954,06","2,74B","0,25%"
"27/07/2023","959,27","969,29","973,50","959,27","3,01B","-1,03%"
"26/07/2023","969,29","963,85","969,89","962,95","3,32B","0,56%"
"25/07/2023","963,85","962,14","970,50","962,14","4,04B","0,15%"
"24/07/2023","962,43","963,38","968,96","962,13","4,21B","-0,10%"
"21/07/2023","963,38","961,53","963,38","956,02","3,41B","0,19%"
"20/07/2023","961,53","958,34","965,30","957,67","3,28B","0,33%"
"18/07/2023","958,37","964,36","970,31","952,68","5,60B","-0,62%"
"17/07/2023","964,36","964,11","972,74","964,11","7,03B","0,03%"
"14/07/2023","964,09","956,95","964,69","956,27","4,60B","0,75%"
"13/07/2023","956,95","958,02","962,71","954,03","4,04B","-0,11%"
"12/07/2023","957,99","954,96","960,72","954,25","3,03B","0,32%"
"11/07/2023","954,96","949,19","956,34","949,08","3,69B","0,61%"
"10/07/2023","949,16","947,73","956,10","947,73","2,01B","0,15%"
"07/07/2023","947,73","956,34","956,34","947,62","3,39B","-0,91%"
"06/07/2023","956,40","953,30","958,42","950,24","3,32B","0,31%"
"05/07/2023","953,44","948,73","953,44","947,33","2,95B","0,50%"
"04/07/2023","948,73","952,60","956,19","947,10","3,23B","-0,40%"
"03/07/2023","952,57","945,67","952,57","945,48","3,26B","0,73%"
"27/06/2023","945,70","946,11","950,82","944,82","5,30B","-0,04%"
"26/06/2023","946,11","942,72","949,00","939,71","3,76B","0,36%"
"23/06/2023","942,72","944,37","947,05","941,77","2,74B","-0,17%"
"22/06/2023","944,37","954,72","956,63","944,37","3,79B","-1,08%"
"21/06/2023","954,69","948,81","954,98","944,58","3,02B","0,62%"
"20/06/2023","948,81","950,03","951,32","942,64","3,21B","-0,13%"
"19/06/2023","950,03","952,16","952,84","946,42","3,40B","-0,22%"
"16/06/2023","952,16","952,21","954,63","943,91","7,06B","-0,01%"
"15/06/2023","952,27","949,81","952,93","944,26","4,65B","0,26%"
"14/06/2023","949,81","952,55","956,03","946,13","5,24B","-0,29%"
"13/06/2023","952,58","952,72","955,35","947,60","5,93B","-0,01%"
"12/06/2023","952,72","954,36","954,50","946,86","5,51B","-0,16%"
"09/06/2023","954,24","953,33","955,79","948,26","8,77B","0,09%"
"08/06/2023","953,39","945,39","953,39","941,48","6,97B","0,85%"
"07/06/2023","945,39","946,71","949,59","939,17","5,54B","-0,14%"
"06/06/2023","946,68","946,57","951,92","939,29","12,12B","0,01%"
"05/06/2023","946,57","949,66","954,67","942,54","5,78B","-0,33%"
"31/05/2023","949,66","943,10","949,66","934,75","50,11B","0,70%"
"30/05/2023","943,10","946,58","951,09","940,49","7,88B","-0,37%"
"29/05/2023","946,58","942,31","946,82","934,08","6,48B","0,46%"
"26/05/2023","942,25","941,83","946,89","939,22","5,48B","0,05%"
"25/05/2023","941,83","948,48","950,49","941,83","5,80B","-0,70%"
"24/05/2023","948,48","946,11","950,15","941,98","4,95B","0,25%"
"23/05/2023","946,11","945,43","953,61","945,13","6,23B","0,07%"
"22/05/2023","945,43","939,57","951,84","935,18","6,18B","0,62%"
"19/05/2023","939,57","929,16","943,11","929,09","6,28B","1,12%"
"17/05/2023","929,16","929,74","936,81","929,16","7,70B","-0,06%"
"16/05/2023","929,77","935,00","938,58","926,55","5,10B","-0,56%"
"15/05/2023","935,00","932,36","936,67","925,16","5,47B","0,30%"
"12/05/2023","932,22","940,15","940,15","931,72","8,67B","-0,84%"
"11/05/2023","940,15","947,49","948,28","932,87","7,30B","-0,78%"
"10/05/2023","947,49","940,57","948,53","939,33","7,59B","0,75%"
"09/05/2023","940,48","938,05","942,40","933,13","6,08B","0,26%"
"08/05/2023","938,05","945,02","946,45","936,90","6,06B","-0,74%"
"05/05/2023","945,05","952,28","954,06","935,91","4,78B","-0,76%"
"04/05/2023","952,28","947,65","953,58","943,17","5,13B","0,49%"
"03/05/2023","947,65","955,61","956,54","940,33","3,45B","-0,83%"
"02/05/2023","955,61","961,75","963,09","945,61","3,50B","-0,64%"
"28/04/2023","961,75","965,08","968,84","959,08","4,71B","-0,35%"
"27/04/2023","965,08","963,34","968,02","956,97","7,61B","0,19%"
"26/04/2023","963,21","948,34","966,26","948,29","4,35B","1,57%"
"18/04/2023","948,34","943,42","952,90","942,70","2,46B","0,52%"
"17/04/2023","943,42","950,93","952,48","939,21","2,86B","-0,79%"
"14/04/2023","950,90","943,94","954,33","943,91","5,51B","0,74%"
"13/04/2023","943,89","943,09","947,78","940,28","7,07B","0,08%"
"12/04/2023","943,18","941,81","946,29","938,87","5,78B","0,15%"
"11/04/2023","941,78","935,59","941,78","929,79","7,21B","0,66%"
"10/04/2023","935,59","937,20","938,42","928,35","4,93B","-0,17%"
"06/04/2023","937,20","940,69","943,29","936,39","8,73B","-0,37%"
"05/04/2023","940,69","943,14","949,17","940,50","3,53B","-0,26%"
"04/04/2023","943,14","943,04","947,51","934,80","2,85B","0,01%"
"03/04/2023","943,07","937,68","946,46","937,65","3,63B","0,57%"
"31/03/2023","937,68","939,63","943,78","935,45","4,73B","-0,20%"
"30/03/2023","939,61","947,00","951,03","938,19","4,09B","-0,78%"
"29/03/2023","947,00","935,31","949,25","935,31","3,90B","1,25%"
"28/03/2023","935,31","929,10","936,66","929,10","3,06B","0,67%"
"27/03/2023","929,10","941,04","943,05","929,10","3,06B","-1,27%"
"24/03/2023","941,04","930,46","943,88","929,19","5,81B","1,19%"
"21/03/2023","929,99","915,57","929,99","914,23","5,72B","1,58%"
"20/03/2023","915,57","924,25","924,25","910,83","3,89B","-0,94%"
"17/03/2023","924,25","907,50","926,47","907,50","35,54B","1,85%"
"16/03/2023","907,50","914,19","914,90","903,43","4,82B","-0,73%"
"15/03/2023","914,19","917,38","929,86","914,19","4,66B","-0,35%"
"14/03/2023","917,38","939,78","939,78","916,33","6,01B","-2,39%"
"13/03/2023","939,84","937,08","944,10","931,72","5,76B","0,29%"
"10/03/2023","937,14","942,89","942,89","934,22","3,66B","-0,61%"
"09/03/2023","942,89","939,03","948,52","939,03","3,10B","0,41%"
"08/03/2023","939,03","935,74","939,03","930,04","5,59B","0,35%"
"07/03/2023","935,74","938,69","941,19","934,26","5,09B","-0,32%"
"06/03/2023","938,72","939,02","946,56","938,72","4,95B","-0,03%"
"03/03/2023","938,96","947,15","951,48","937,58","3,66B","-0,86%"
"02/03/2023","947,15","945,85","951,01","945,10","4,19B","0,14%"
"01/03/2023","945,82","942,94","951,79","942,94","5,48B","0,30%"
"28/02/2023","942,97","948,08","954,61","942,97","6,17B","-0,54%"
"27/02/2023","948,08","946,93","948,48","940,60","3,43B","0,12%"
"24/02/2023","946,93","944,43","953,00","944,43","4,12B","0,27%"
"23/02/2023","944,43","940,02","944,71","938,33","3,49B","0,47%"
"22/02/2023","939,99","950,48","950,89","934,95","5,84B","-1,11%"
"21/02/2023","950,51","954,85","957,96","950,16","4,19B","-0,46%"
"20/02/2023","954,85","954,41","957,35","948,66","8,07B","0,05%"
"17/02/2023","954,38","953,49","958,33","950,52","8,81B","0,09%"
"16/02/2023","953,49","957,64","960,50","951,41","5,20B","-0,43%"
