ticker,month,monthly_return_percentage
KKES.JK,2023-07,-4.285714285714286
KKES.JK,2023-08,-9.375
KKES.JK,2023-09,-12.068965517241379
KKES.JK,2023-10,0.0
KKES.JK,2023-11,0.0
KKES.JK,2023-12,0.0
PNBS.JK,2023-01,1.5151515151515151
PNBS.JK,2023-02,-2.9850746268656714
PNBS.JK,2023-03,-10.606060606060606
PNBS.JK,2023-04,0.0
PNBS.JK,2023-05,-3.4482758620689653
PNBS.JK,2023-06,3.571428571428571
PNBS.JK,2023-07,12.068965517241379
PNBS.JK,2023-08,-4.761904761904762
PNBS.JK,2023-09,-1.694915254237288
PNBS.JK,2023-10,-3.4482758620689653
PNBS.JK,2023-11,1.7857142857142856
PNBS.JK,2023-12,-3.571428571428571
META.JK,2023-01,1.6260162601626018
META.JK,2023-02,0.0
META.JK,2023-03,-6.451612903225806
META.JK,2023-04,1.7543859649122806
META.JK,2023-05,-3.4782608695652173
META.JK,2023-06,-1.8018018018018018
META.JK,2023-07,8.256880733944955
META.JK,2023-08,-3.418803418803419
META.JK,2023-09,98.23008849557522
META.JK,2023-10,-16.428571428571427
META.JK,2023-11,2.586206896551724
META.JK,2023-12,0.0
HOKI.JK,2023-01,-2.8846153846153846
HOKI.JK,2023-02,9.900990099009901
HOKI.JK,2023-03,-18.75
HOKI.JK,2023-04,-2.197802197802198
HOKI.JK,2023-05,-1.1111111111111112
HOKI.JK,2023-06,-6.8181818181818175
HOKI.JK,2023-07,2.4691358024691357
HOKI.JK,2023-08,50.0
HOKI.JK,2023-09,8.19672131147541
HOKI.JK,2023-10,-6.106870229007633
HOKI.JK,2023-11,56.557377049180324
HOKI.JK,2023-12,-8.465608465608465
TMPO.JK,2023-01,19.230769230769234
TMPO.JK,2023-02,-12.068965517241379
TMPO.JK,2023-03,-2.8846153846153846
TMPO.JK,2023-04,-2.941176470588235
TMPO.JK,2023-05,-6.0606060606060606
TMPO.JK,2023-06,15.789473684210526
TMPO.JK,2023-07,-4.854368932038835
